Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
Procurement of Computers,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202253704521,"₦18,250,000.00",DEKAYNE HEIGHT LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, June 16, 2021",2022-06-08,LASBCA
PROCUREMENT OF PPE AND AEFI KITS FOR COVID-19 VACCINATION CAMPAIGN IN LAGOS STATE,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202200684335,"₦13,907,630.00",MEXZEN PHARMACEUTICAL AND CHEMICAL INDUSTRIES LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, March 25, 2021",2022-06-08,"YABA, LAGOS"
Maintenance of Prince Olofin monument,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202281232838,"₦4,664,000.00",O.MODUPE STUDIO,Private Organization,"₦10,000,001 to ₦25,000,000",13,2021,COMPLETED,,"Friday, September 17, 2021",2022-06-08,LAGOS
ENGAGEMENT OF CONSULTANT ON DESIGN FOR PROTOTYPE OF THREE CATEGORIES OF PRIMARY HEALTH CARE CENTERS (PHCs),PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202276740107,"₦202,398,644.85",PHLEXCOM TECHNICAL SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, March 25, 2021",2022-06-08,"YABA, LAGOS"
Repair of LASBCA Operational Vehicle,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202208535622,"₦16,880,000.00",BISMHA CONSTRUCTION COMPANY,Private Organization,,0,2021,ACTIVE,,"Monday, October 25, 2021",2022-06-08,LASBCA
Enumeration and Data Collation on Hospitality and Tourism Establishments in Lagos State (LOT III),"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202272213688,"₦25,000,000.00",OYINTECH ASSURED ENTERPRISE S,Private Organization,,0,2021,COMPLETED,,"Thursday, September 2, 2021",2022-06-08,LAGOS
RECONSTRUCTION OF IGBOGBO PRIMARY HEALTH CARE CENTRE IGBOGBO- BAIYEKU LCDA,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202205564732,"₦72,926,290.50",EXCLUSIVE D'VYN CONCEPT,Private Organization,,0,2021,ONGOING,,"Saturday, January 2, 2021",2022-06-08,"YABA, LAGOS"
Enumeration and Data Collation on Hospitality and Tourism Establishments in Lagos State (LOT II),"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202266872560,"₦25,000,000.00",COMPLETE HOSPITALITY SERVICES LTD,Private Organization,"₦50,000,001 to ₦100,000,000",42,2021,COMPLETED,,"Thursday, September 2, 2021",2022-06-08,LAGOS
MAINTENANCE OF COLD STORE- GENERAL OVERHAULING OF COLD ROOMS,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202256301784,"₦6,997,712.50",GLOBAL JESWAY LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, November 19, 2021",2022-06-08,Unspecified
Enumeration and Data Collation on Hospitality and Tourism Establishments in Lagos State (LOT I),"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202213015575,"₦25,000,000.00",TYM AND TRENDZ CORPORATE SERVICES LTD,Private Organization,,0,2021,COMPLETED,,"Thursday, September 2, 2021",2022-06-08,LAGOS
"Furnishing of the slave market (vlekete) museum, Badagry LGA, Lagos State","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202200827073,"₦144,655,717.50",OBINJADE NIG. LTD,Private Organization,,0,2021,COMPLETED,,"Friday, July 16, 2021",2022-06-08,"BADAGRY, LAGOS"
Erection and Installation of the Statue of Late Alhaji Lateef Kayode Jakande,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202204832143,"₦75,000,000.00",KENNY ADAMSON INTERNATIONAL,Private Organization,,0,2021,COMPLETED,,"Sunday, July 25, 2021",2022-06-08,LAGOS
Construction Of LASBCA Administrative Building,LAGOS STATE BUILDING CONTROL AUTHORITY,ocds-5q8fsw-6202262671607,"₦601,114,672.73",HRPS LIMITED,Private Organization,,0,2021,ONGOING,Project initiated for LASBCA Staffs to be more accommodated,"Tuesday, October 26, 2021",2022-06-08,LASBCA
Supply of Equipment for the management of Monument and Heritage sites,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202282268711,"₦3,430,950.00",DANIK VENTURES,Private Organization,,0,2021,COMPLETED,,"Sunday, July 18, 2021",2022-06-08,"IKEJA, LAGOS"
"Supply of Branded Materials for the Service Delivery Unit in the Ministry of Tourism, Arts and Culture","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202285572571,"₦5,100,000.00",AGLOW AVIATION SUPPORT SERVICES LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, July 13, 2021",2022-06-08,"IKEJA, LAGOS"
"Supply of Information Communication Technology (ICT) Tools in the Ministry of Tourism, Arts and Culture","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202210506887,"₦7,944,500.00",NIBBLES ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Tuesday, July 13, 2021",2022-06-08,"IKEJA, LAGOS"
"Preparation/ Production of Survey Plan and the Delineation of the proposed site for the Development of Lagos Cultural Village, Alimosho, Lagos State","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202203686170,"₦15,000,000.00",PLUS MIXER WORKS LTD,Private Organization,,0,2021,COMPLETED,,"Friday, June 18, 2021",2022-06-08,"ALIMOSHO, LAGOS"
Refurbishment and Renovation of the Office of the Permanent Secretary (MTAC) .,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202220627003,"₦10,000,000.00",NIBBLES ENTERPRISES,Private Organization,,0,2021,ON-GOING,,"Friday, June 18, 2021",2022-06-08,"ALAUSA, LAGOS"
"Supply of Office Furniture and Equipment in the Ministry of Tourism, Arts and Culture.","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202281656066,"₦9,897,525.00",MARHDIAH AND SONS ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Friday, June 18, 2021",2022-06-08,"ALAUSA, LAGOS"
Refurbishment and Restoration of Alhaja Kudirat Abiola Cenotaph,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202260564181,"₦9,000,000.00",KENNY ADAMSON INTERNATIONAL,Private Organization,,0,2021,COMPLETED,,"Thursday, June 10, 2021",2022-06-08,LAGOS
Refurbishment of Oba Akran Statue,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202208773448,"₦6,500,000.00",FOJOL SCULPT NIGERIA ENTERPRISES,Private Organization,,0,2021,ON-GOING,,"Thursday, June 10, 2021",2022-06-08,Unspecified
Publicity and Media Services for the Y2021 Greater Lagos Fiesta (Pre – Event).,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202211553568,"₦50,000,000.00",OYINTECH ASSURED ENTERPRISE S,Private Organization,,0,2021,COMPLETED,,"Thursday, June 10, 2021",2022-06-08,LAGOS
Supply of Office Equipment for the Hon. Commissioner’s Office,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202218121422,"₦3,979,650.00",MARHDIAH AND SONS ENTERPRISES,Private Organization,,0,2021,ON-GOING,,"Tuesday, June 1, 2021",2022-06-08,"ALAUSA, LAGOS"
Sensitization on the Lagos State Community Based Tourism (CBT) Initiative,"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202205475733,"₦11,115,500.00",MASOYI NIGERIA ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Tuesday, June 1, 2021",2022-06-08,LAGOS
"Production of 3D- Video, 3D- Visualization, Architectural Design, Floor and Roof Plan and Aerial Video of Land Mass for the Development of EKO Beach Resort, Akodo.","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202207144652,"₦6,850,000.00",PLUS MIXER WORKS LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, May 11, 2021",2022-06-08,"AKODO, LAGOS."
"Production of 3D-Video,3D-Visualization, Architectural Design, Floor and Roof Plan and Aerial Video of Land Mass for the Development of Sungbo Eredo.","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202218016626,"₦4,500,000.00",PLUS MIXER WORKS LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, May 11, 2021",2022-06-08,SUNGBO EREDO
"Production of 3D-Video, 3D-Visualization, Architectural Design, Floor and Roof Plan and Aerial Video of Land Mass for the Development of Lagos Cultural Village, Alimosho.","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202248764007,"₦7,950,000.00",PLUS MIXER WORKS LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, May 11, 2021",2022-06-08,"IKEJA, LAGOS"
"Production of Site Aerial Mapping, 3D Technical Drawing with Animation and Marketing Video for the Lagos Film City","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202264151354,"₦25,000,000.00",MARHDIAH AND SONS ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Monday, April 26, 2021",2022-06-08,"IKEJA, LAGOS"
Production of Uniforms and protective outfits,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202212562767,"₦2,678,000.00",J3 CLOTHING,Private Organization,"₦10,000,001 to ₦25,000,000",20,2022,COMPLETED,,"Tuesday, January 18, 2022",2022-06-08,"IKEJA, LAGOS"
Annual Serving of Eight (8) Photocopier Machines,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202273233400,"₦278,425.00",ATADEL VENTURES,Private Organization,,0,2021,COMPLETED,,"Monday, July 5, 2021",2022-06-08,"IKEJA, LAGOS"
Supply of 12 numbers of 1.5KVA Generating Set,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202271415304,"₦1,264,200.00",ALL IN ALL ENTERPRISES,Private Organization,"₦25,000,001 to ₦50,000,000",20,2021,COMPLETED,,"Tuesday, October 5, 2021",2022-06-08,"IKEJA, LAGOS"
PROVISION OF UTILITY CROSS DUCTS ACROSS THE METROPOLIS (LOT 6),LAGOS STATE INFRASTRUCTURAL MAINTENANCE & REGULATORY AGENCY(LASMIRA),ocds-5q8fsw-6202208348846,"₦4,873,203.89",360 UNIQUE DESIGN & CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",75,2021,COMPLETED,THE EXISTING SERVICE DUCT COVERS MADE OF LIGHT CONCRETE USUALLY GETS DAMAGED AND THE DUCT CHAMBERS LEFT OPEN POSTING POSSIBLE DANGER TO THE INHABITANTS OF THE STATE WILL BE RELOACATED TO THE CROSS DUCT AND REPLACE WITH REINFORCED SITU CONCRETE,"Tuesday, December 14, 2021",2022-06-08,"IKEJA, LAGOS"
PROVISION OF UTILITY CROSS DUCTS ACROSS THE METROPOLIS (LOT 6),LAGOS STATE INFRASTRUCTURAL MAINTENANCE & REGULATORY AGENCY(LASMIRA),ocds-5q8fsw-6202224378828,"₦15,454,063.89",LUXXURO GREEN,Private Organization,"₦10,000,001 to ₦25,000,000",32,2021,COMPLETED,THE EXISTING SERVICE DUCT COVERS MADE OF LIGHT CONCRETE USUALLY GETS DAMAGED AND THE DUCT CHAMBERS LEFT OPEN POSTING POSSIBLE DANGER TO THE INHABITANTS OF THE STATE WILL BE RELOACATED TO THE CROSS DUCT AND REPLACE WITH REINFORCED SITU CONCRETE,"Thursday, September 23, 2021",2022-06-08,"IKEJA, LAGOS"
PROVISION OF UTILITY CROSS DUCTS ACROSS THE METROPOLIS (LOT 6),LAGOS STATE INFRASTRUCTURAL MAINTENANCE & REGULATORY AGENCY(LASMIRA),ocds-5q8fsw-6202286068145,"₦25,058,905.83",S.J PREMIER LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",25,2021,COMPLETED,THE EXISTING SERVICE DUCT COVERS MADE OF LIGHT CONCRETE USUALLY GETS DAMAGED AND THE DUCT CHAMBERS LEFT OPEN POSTING POSSIBLE DANGER TO THE INHABITANTS OF THE STATE WILL BE RELOACATED TO THE CROSS DUCT AND REPLACE WITH REINFORCED SITU CONCRETE,"Thursday, September 23, 2021",2022-06-08,"IKEJA, LAGOS"
PURCHASE OF TWO (2) UNITS OF 3D IMAGING AND VOID DETECTING SYSTEM,LAGOS STATE INFRASTRUCTURAL MAINTENANCE & REGULATORY AGENCY(LASMIRA),ocds-5q8fsw-6202230830464,"₦10,000,000.00",FAMYDELL ASSOCIATES LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",35,2021,COMPLETED,THE AGENCY GOT AN APPROVAL AND USE 'NATIONAL SHOPPING' FOR THE PURCHASE,"Wednesday, November 10, 2021",2022-06-08,"IKEJA, LAGOS"
Award letter for Office Re-ordering by Demarcation,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202285640742,"₦1,447,600.00",ISAAC DELLY LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 14, 2021",2022-06-07,"ALAUSA, IKEJA"
Award letter for procurement of six (6) official laptops in the Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202200821412,"₦2,400,000.00",ISAAC DELLY LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 14, 2021",2022-06-07,"ALAUSA, IKEJA"
Award letter for Re: Appointment of a New Board Secretary; Lagos State Consumer Protection Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202201010868,"₦2,437,400.00",ISAAC DELLY LTD,Private Organization,,0,2021,COMPLETED,,"Wednesday, November 10, 2021",2022-06-07,"ALAUSA, IKEJA"
"Award letter for procurement of Uniform and Protectives for Surveillance, Monitoring and Enforcement activities in the Agency",LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202275615055,"₦1,500,000.00",ISAAC DELLY LTD,Private Organization,,0,2021,COMPLETED,,"Monday, July 5, 2021",2022-06-07,"ALAUSA, IKEJA"
Award letter for procurement of motor bike in the Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202285513765,"₦2,500,000.00",ISAAC DELLY LTD,Private Organization,,0,2021,COMPLETED,,"Wednesday, February 3, 2021",2022-06-07,"ALAUSA, IKEJA"
Award letter for Procurement of Office Furniture and Equipment for the proposed offices in local governments and local council development areas of Lagos State,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202268238430,"₦8,600,000.00",DEBBY AND SONS COMPANY,Private Organization,,0,2021,COMPLETED,,"Wednesday, November 10, 2021",2022-06-07,"ALAUSA, IKEJA"
CONNECTION OF OGUDU ORI-OKE STREETLIGHTS SUBSTATIONS TO ALAUSA POWER PLANT,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202250027804,"₦39,506,024.25",PORTLAND GAS LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",55,2021,COMPLETED,Completed,"Tuesday, November 9, 2021",2022-06-07,"ALAUSA, LAGOS"
Award letter for subscription of Internet Service for the Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202278878181,"₦1,440,000.00",AMBION WIRELESS LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, August 4, 2021",2022-06-07,"ALAUSA, IKEJA"
"Installation of Street lighting along Bishop Oluwole, Victoria Island in Eti-Osa LGA",LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202225560271,"₦34,040,948.00",KEIVE LINK VENTURES COMPANY LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",31,2021,COMPLETED,Completed,"Tuesday, November 9, 2021",2022-06-07,"ETI-OSA, LAGOS"
Award letter for the procurement of management of Information System (MIS) expenses for the Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202212868531,"₦1,046,000.00",DEBBY AND SONS COMPANY,Private Organization,,0,2021,COMPLETED,,"Friday, March 26, 2021",2022-06-07,"ALAUSA, IKEJA"
Award letter for procurement of  Information Communication Technology expenses for Y2021 in the Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202211322137,"₦1,000,000.00",DEBBY AND SONS COMPANY,Private Organization,,0,2021,COMPLETED,,"Wednesday, November 3, 2021",2022-06-07,"ALAUSA, IKEJA"
Maintenance of Existing Solar Power Infrastructure in the State,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202210732578,"₦18,673,619.38",GP INVERTERS AND SOLAR LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",25,2021,ON-GOING,Awaiting Payment at STO,"Thursday, August 5, 2021",2022-06-07,LAGOS
Award letter for procurement of Stationeries and Other Consumables in the Agency in the Agency,LAGOS STATE CONSUMER PROTECTION AGENCY,ocds-5q8fsw-6202210112428,"₦1,500,000.00",DEBBY AND SONS COMPANY,Private Organization,,0,2021,COMPLETED,,"Wednesday, November 3, 2021",2022-06-07,"ALAUSA, IKEJA"
"Provision of ""Speakup"" Anonymous Whistle Blowing and Initial Assessment and Case Analysis Service",MINISTRY OF FINANCE,ocds-5q8fsw-6202215270016,"₦35,000,000.00",DELOITTE & TOUCHE,Private Organization,,0,2021,COMPLETED,Successful,"Friday, October 22, 2021",2022-06-07,"ALAUSA, IKEJA"
Renewal of Land Use Charge Call center License and Maintenance Support,MINISTRY OF FINANCE,ocds-5q8fsw-6202238515073,"₦18,060,000.00",HYPERGROWTH PROFESSIONAL SERVICES,Private Organization,"₦10,000,001 to ₦25,000,000",20,2021,COMPLETED,,"Wednesday, October 20, 2021",2022-06-07,LAGOS
"Provision of ""Speakup"" Anonymous Whistle Blowing and Initial Assesment and Case Analysis Service",MINISTRY OF FINANCE,ocds-5q8fsw-6202217732451,"₦20,000,000.00",EAGLE EYES ASSESSOR,Private Organization,"₦5,000,001 to ₦10,000,000",14,2021,COMPLETED,,"Tuesday, October 26, 2021",2022-06-07,"ALAUSA, LAGOS"
Monthly Tax Advisory Including Ongoing Expert Option to appointed Legal Firm to pursue the Appeal,MINISTRY OF FINANCE,ocds-5q8fsw-6202220132775,"₦600,000,000.00",ANDERSEN NIGERIA,Private Organization,"₦5,000,001 to ₦10,000,000",12,2021,ON-GOING,,"Thursday, October 28, 2021",2022-06-07,"ALAUSA, IKEJA"
"Recoveries of Value Added Tax Payable to Lagos State Internal Revenue Service(LIRS) 
 .",MINISTRY OF FINANCE,ocds-5q8fsw-6202260168587,"₦200,000,000.00",ANDERSEN NIGERIA,Private Organization,"₦5,000,001 to ₦10,000,000",12,2021,ON-GOING,,"Tuesday, October 26, 2021",2022-06-07,"IKEJA, LAGOS"
"DESILTING OF DRAINAGE  CHANNELS WITHIN SCHEME (OLUWA STREET,NDUBUISI STREET, DAVID ADEKUNLE STREET, HAKEEM AGBOOLA CRESCENT AND RABIU BABATUNDE TINUBU ROAD STREETS AT AMUWO-ODOFI RESIDENTIAL SCHEMEN LEKKI SCHEME 1) LOT III",NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202217662545,"₦5,635,944.56",BODAJET NIGERIA LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",15,2021,ON-GOING,,"Wednesday, July 7, 2021",2022-06-07,LEKKI PENINSULA SCHEME I
PROVISION OF STREET LIGHTING ON ABAYOMI SHONUGA STREET (PART OF) IN LEKKI PENINSULA SCHEME I,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202211665053,"₦24,452,980.60",OMAY ENGINEERING SERVICES LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",33,2021,ON-GOING,,"Monday, July 12, 2021",2022-06-07,LEKKI PENINSULA SCHEME I
REMOVAL OF SHANTIES AND SQUATTER SETTLEMENT WITHIN LEKKI PENINSULA SCHEME 11,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202205105730,"₦24,370,000.00",OBAK NIGERIA ENTERPRISE,Private Organization,"₦5,000,001 to ₦10,000,000",27,2021,ON-GOING,,"Thursday, August 12, 2021",2022-06-07,LEKKI PENINSULA SCHEME II
IMMEDIATE REMOVAL OF ILLEGAL DEVELOPMENT WITHIN IBEREKODO SCHEME LEKKI SUB-REGION,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202262413317,"₦49,820,400.00",OBAK NIGERIA ENTERPRISE,Private Organization,"₦5,000,001 to ₦10,000,000",27,2021,ON-GOING,,"Thursday, August 12, 2021",2022-06-07,Unspecified
"CONSTRUCTION OF ROAD OFF DELE ADEDEJI STREET, LEKKI SCHEME I",NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202211808826,"₦66,899,415.00",WETLAND CONSTRUCTION NIGERIA LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",55,2021,ON-GOING,,"Tuesday, August 24, 2021",2022-06-07,"LEKKI SCHEME 1, LAGOS."
CONSTRUCTION OF SHELTER FOR TRANSFORMER AT WATER YARD LEKKI PENINSULA SCHEME II,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202257708753,"₦24,370,000.00",OBAK NIGERIA ENTERPRISE,Private Organization,"₦5,000,001 to ₦10,000,000",27,2021,ON-GOING,,"Thursday, August 12, 2021",2022-06-07,LEKKI PENINSULA SCHEME II
CONSTRUCTION OF 2KM ACCESS ROAD IN IDERA PRIVATE DEVELOPER'S SCHEME,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202225042271,"₦49,820,400.00",OBAK NIGERIA ENTERPRISE,Private Organization,"₦5,000,001 to ₦10,000,000",27,2021,ON-GOING,,"Thursday, August 12, 2021",2022-06-07,"IDERA, LAGOS"
"REMOVAL OF ILLEGAL DEVELOPMENT WIYHIN MOREMI PRIVATE ESTATE DEVELOPERS'SCHEME, ETI-OSA LOCAL GOVERNMENT AREA (PHASE 1)",NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202277820567,"₦48,829,000.00",NOSBAT NIGERIA COMPANY,Private Organization,"₦5,000,001 to ₦10,000,000",23,2021,ON-GOING,,"Friday, October 29, 2021",2022-06-07,"ETI OSA, LAGOS"
Update of Layout Plan in Ilupeju Residential/Industrial Scheme,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202223716407,"₦24,850,000.00",TADE PLANNING SERVICES,Private Organization,"₦1,000,001 to ₦5,000,000",11,2022,ON-GOING,,"Wednesday, March 16, 2022",2022-06-07,"IKEJA, LAGOS"
PURCHASE OF TONER CARTRIDGES FOR PRINTERS IN THE AUTHORITY,NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202217848554,"₦2,495,600.00",DAM PEACE LIMITED,Private Organization,"₦1,000,001 to ₦5,000,000",9,2022,COMPLETED,,"Wednesday, March 30, 2022",2022-06-07,IKEJA LAGOS
"Production of Site Aerial Mapping, 3D Technical Drawing with Animation and Marketing Video for the Lagos Film City","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202228665151,"₦25,000,000.00",MARHDIAH AND SONS ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Monday, April 26, 2021",2022-06-07,"IKEJA, LAGOS"
"Production of 4,000 copies of Y2021 Lagos Tourism Calendar of Events","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202246214386,"₦20,000,000.00",MARHDIAH AND SONS ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Thursday, April 1, 2021",2022-06-07,LAGOS
"Reconstruction and Development of Agia Tree Cenotaph, Badagry LGA, Lagos State","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202277857456,"₦79,477,091.57",BUHARI SULAIMON & SON LTD,Private Organization,,0,2021,ON-GOING,,"Thursday, April 1, 2021",2022-06-07,"BADAGRY, LAGOS"
Renovation of Badagry Youth Centre,YOUTH & SOCIAL DEVELOPMENT,ocds-5q8fsw-6202225410611,"₦87,011,335.95",SOB STEEL CONSTRUCTION LIMITED,Private Organization,,0,2021,NEW PROJECT,,"Sunday, November 28, 2021",2022-06-06,"BADAGRY, LAGOS"
Procurement for the Commemoration Of United Nations Designated International Youth Day Celebration,YOUTH & SOCIAL DEVELOPMENT,ocds-5q8fsw-6202271517878,"₦26,720,000.00",OVERCOME GLOBAL COMPANY,Private Organization,"₦5,000,001 to ₦10,000,000",23,2021,COMPLETED,,"Wednesday, September 22, 2021",2022-06-06,LAGOS
Reconstruction of Collapsed Portion of Perimeter Fence and Drainages at Iyana-Ipaja Youth,YOUTH & SOCIAL DEVELOPMENT,ocds-5q8fsw-6202247350688,"₦24,078,082.47",ODELO NIGERIA LTD,Private Organization,"₦50,000,001 to ₦100,000,000",38,2021,NEW PROJECT,,"Wednesday, October 27, 2021",2022-06-06,"IYANA-IPAJA, LAGOS"
REPAIR AND PAINTING OF THE STORAGE FACILITIES FOR THEMICH,OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202238067854,"₦2,455,000.00",THE BLOOM SHOPFAIRY,Private Organization,"₦5,000,001 to ₦10,000,000",15,2022,ONGOING,,"Thursday, March 24, 2022",2022-06-06,LAGOS
Citizensgate Application Launch Media Campaign,OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202268120538,"₦41,000,000.00",THE BLOOM SHOPFAIRY,Private Organization,"₦5,000,001 to ₦10,000,000",15,2021,ONGOING,,"Wednesday, August 11, 2021",2022-06-06,LAGOS
"17TH EDITION OFEXECUTIVE, LEGISLATIVE AND POLITICAL PARLEY",OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202224736858,"₦17,500,000.00",THE BLOOM SHOPFAIRY,Private Organization,"₦5,000,001 to ₦10,000,000",15,2021,ONGOING,,"Monday, November 15, 2021",2022-06-06,LAGOS
Training of the Engagement Ambassador/Resolvers of the Upgraded Citizensgate Portal,OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202234657264,"₦44,000,000.00",APPLISTRUCTURE CONSULTING LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",49,2021,ONGOING,,"Wednesday, August 11, 2021",2022-06-06,LAGOS
Development of the Upgraded Citizensgate Portal,OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202230668035,"₦95,000,000.00",APPLISTRUCTURE CONSULTING LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",49,2021,ONGOING,,"Wednesday, August 11, 2021",2022-06-06,LAGOS
"Provision of food Items for the conduct on the Conduct of the Mother, Infant & Child (MICH) Program in 57 LGAs/LCDAs",OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202245058768,"₦66,737,020.00",THE BLOOM SHOPFAIRY,Private Organization,"₦5,000,001 to ₦10,000,000",15,2021,NEW PROJECT,,"Saturday, May 8, 2021",2022-06-06,LAGOS
"Logistics and Sensitization on the Conduct of the Mother, Infant & Child (MICH) Program in 57 LGAs/LCDAs",OFFICE OF CIVIC ENGAGEMENT,ocds-5q8fsw-6202222310178,"₦3,500,000.00",THE BLOOM SHOPFAIRY,Private Organization,"₦5,000,001 to ₦10,000,000",15,2021,NEW PROJECT,,"Wednesday, July 14, 2021",2022-06-06,LAGOS
